,0,1,2,0
168,64-20s,itr4,Node5,"[1600, 4052, 3134, 2871, 4698, 2366, 1629, 1932, 1914, 2052, 2413, 627, 566, 1113, 1336]"
169,64-20s,itr4,Node4,"[1600, 4052, 3134, 2871, 4698, 2366, 1629, 1932, 1914, 2052, 2413, 627, 566, 1113, 1336]"
170,64-20s,itr5,Node5,"[2387, 4733, 2579, 808, 3353, 1044, 6094, 576, 7593, 1063, 2045, 1887, 1107, 2900, 936]"
171,64-20s,itr5,Node 1,"[3946, 2387, 4733, 1497, 2579, 808, 3353, 1044, 576, 994, 7593, 1063, 2045, 1887, 1107, 326, 664, 2900, 936]"
172,64-20s,itr5,Node 2,"[3946, 2387, 1497, 2579, 808, 3353, 1044, 994, 576, 7593, 1063, 2045, 1887, 1107, 326, 664, 2900, 936]"
173,64-20s,itr5,Node 3,"[3946, 2387, 4733, 1497, 2579, 808, 3353, 1044, 6094, 576, 7593, 1063, 2045, 1887, 1107, 326, 664, 2900, 936]"
174,64-20s,itr5,Node4,"[2387, 4733, 2579, 808, 3353, 1044, 6094, 576, 7593, 1063, 2045, 1887, 1107, 2900, 936]"
175,64-20s,itr6,Node5,"[4156, 1920, 1840, 1688, 10896, 224, 127, 2239, 2, 4, 3]"
176,64-20s,itr6,Node4,"[4156, 1920, 9706, 1840, 10896, 224, 13845, 176, 2239, 2, 4, 3]"
177,64-20s,itr6,Node 2,"[4156, 1920, 9706, 1840, 10896, 224, 222, 2239, 2, 4, 3]"
178,64-20s,itr6,Node 3,"[4156, 1920, 1688, 1840, 10896, 224, 113, 176, 2239, 2, 4, 3]"
179,64-20s,itr6,Node 1,"[4156, 1920, 9706, 1840, 10896, 224, 176, 113, 2239, 2, 4, 3]"
180,64-20s,itr7,Node4,"[4627, 7043, 1809, 2341, 1465, 7293, 491, 9074, 3413, 383, 5639]"
181,64-20s,itr7,Node 3,"[4627, 7043, 1809, 2341, 1465, 491, 823, 9074, 383, 5639]"
182,64-20s,itr7,Node5,"[4627, 1453, 1809, 2341, 1465, 670, 823, 9074, 383, 5639]"
183,64-20s,itr7,Node 2,"[4627, 7043, 2341, 1465, 7293, 491, 9074, 3413, 383, 5639]"
184,64-20s,itr7,Node 1,"[4627, 1809, 1453, 2341, 1465, 823, 491, 9074, 3413, 383, 5639]"
185,64-20s,itr8,Node5,"[4239, 1033, 1143, 1163, 5540, 618, 96, 177, 7420, 99, 395]"
186,64-20s,itr8,Node4,"[4239, 3855, 1033, 7509, 2489, 5540, 618, 120, 177, 7420, 99, 395]"
187,64-20s,itr8,Node 1,"[4239, 3855, 1033, 2489, 1163, 5540, 618, 177, 120, 7420, 99, 395]"
188,64-20s,itr8,Node 3,"[4239, 3855, 1033, 1163, 2489, 5540, 618, 143, 120, 7420, 99, 395]"
189,64-20s,itr8,Node 2,"[4239, 3855, 1033, 7509, 2489, 5540, 618, 8645, 120, 7420, 99, 395]"
190,64-20s,itr9,Node4,"[4565, 5408, 3901, 3959, 2696, 4567, 1916, 491, 89, 7533, 366, 2193]"
191,64-20s,itr9,Node5,"[4565, 5408, 3901, 2913, 2696, 4567, 1916, 89, 491, 7533, 366, 2193]"
192,64-20s,itr9,Node 2,"[4565, 5408, 3901, 2913, 4567, 1916, 8902, 491, 7533, 366, 2193]"
193,64-20s,itr9,Node 3,"[4565, 5408, 3901, 2913, 2696, 4567, 1916, 177, 491, 7533, 366, 2193]"
194,64-20s,itr9,Node 1,"[4565, 5408, 3901, 2696, 3959, 4567, 1916, 636, 491, 7533, 366, 2193]"
195,64-20s,itr10,Node5,"[3653, 2175, 2270, 5975, 2544, 356, 584, 8850, 104]"
196,64-20s,itr10,Node4,"[3653, 6680, 2270, 5975, 2544, 230, 356, 8850, 104]"
197,64-20s,itr10,Node 3,"[3653, 6680, 3207, 2270, 5975, 2544, 584, 356, 8850, 104, 4278]"
198,64-20s,itr10,Node 2,"[3653, 6680, 2270, 5975, 2544, 8393, 584, 8850, 104, 4278]"
199,64-20s,itr10,Node 1,"[3653, 2270, 3207, 5975, 2544, 1015, 230, 8850, 104, 4278]"
200,64-20s,itr11-extra,Node5,"[4113, 5484, 719, 1613, 1553, 5334, 798, 165, 146, 7319]"
201,64-20s,itr11-extra,Node4,"[4113, 5484, 719, 1028, 1553, 5334, 798, 138, 165, 7319]"
202,128-20s,itr1,Node4,"[1964, 2868, 4447, 4030, 4630, 1176, 3204, 3239, 4783, 170, 336, 6335]"
